age,job,marital,education,balance,default,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,technician,married,secondary,1500,no,yes,no,cellular,12,may,300,2,-1,0,unknown,no
45,services,single,tertiary,4000,no,no,yes,cellular,15,jun,250,1,-1,0,unknown,no
29,admin,married,secondary,2000,no,no,no,unknown,20,jul,150,3,-1,0,unknown,yes
50,management,divorced,tertiary,5000,no,yes,no,cellular,3,aug,450,2,-1,0,unknown,no
35,blue-collar,married,primary,1200,no,no,no,unknown,7,sep,100,1,-1,0,unknown,yes
31,services,married,primary,1060,no,yes,yes,cellular,7,jul,130,3,-1,0,unknown,no
32,admin,single,secondary,1070,no,no,no,unknown,8,aug,135,4,-1,1,unknown,no
33,management,divorced,tertiary,1080,no,yes,no,cellular,9,sep,140,1,-1,0,unknown,yes
34,blue-collar,married,primary,1090,no,no,yes,unknown,10,oct,145,2,-1,1,unknown,no
35,technician,single,secondary,1100,no,yes,no,cellular,11,nov,150,3,-1,0,unknown,no
36,services,divorced,tertiary,1110,no,no,no,unknown,12,dec,155,4,-1,1,unknown,no
37,admin,married,primary,1120,no,yes,yes,cellular,13,jan,160,1,-1,0,unknown,yes
38,management,single,secondary,1130,no,no,no,unknown,14,feb,165,2,-1,1,unknown,no
39,blue-collar,divorced,tertiary,1140,no,yes,no,cellular,15,mar,170,3,-1,0,unknown,no
40,technician,married,primary,1150,no,no,yes,unknown,16,apr,175,4,-1,1,unknown,no
41,services,single,secondary,1160,no,yes,no,cellular,17,may,180,1,-1,0,unknown,yes
42,admin,divorced,tertiary,1170,no,no,no,unknown,18,jun,185,2,-1,1,unknown,no
43,management,married,primary,1180,no,yes,yes,cellular,19,jul,190,3,-1,0,unknown,no
44,blue-collar,single,secondary,1190,no,no,no,unknown,20,aug,195,4,-1,1,unknown,no
45,technician,divorced,tertiary,1200,no,yes,no,cellular,21,sep,200,1,-1,0,unknown,yes
46,services,married,primary,1210,no,no,yes,unknown,22,oct,205,2,-1,1,unknown,no
47,admin,single,secondary,1220,no,yes,no,cellular,23,nov,210,3,-1,0,unknown,no
48,management,divorced,tertiary,1230,no,no,no,unknown,24,dec,215,4,-1,1,unknown,no
49,blue-collar,married,primary,1240,no,yes,yes,cellular,25,jan,220,1,-1,0,unknown,yes
50,technician,single,secondary,1250,no,no,no,unknown,26,feb,225,2,-1,1,unknown,no
51,services,divorced,tertiary,1260,no,yes,no,cellular,27,mar,230,3,-1,0,unknown,no
52,admin,married,primary,1270,no,no,yes,unknown,28,apr,235,4,-1,1,unknown,no
53,management,single,secondary,1280,no,yes,no,cellular,29,may,240,1,-1,0,unknown,yes
54,blue-collar,divorced,tertiary,1290,no,no,no,unknown,30,jun,245,2,-1,1,unknown,no
55,technician,married,primary,1300,no,yes,yes,cellular,31,jul,250,3,-1,0,unknown,no
25,services,single,secondary,1310,no,no,no,unknown,1,aug,255,4,-1,1,unknown,no
26,admin,divorced,tertiary,1320,no,yes,no,cellular,2,sep,260,1,-1,0,unknown,yes
27,management,married,primary,1330,no,no,yes,unknown,3,oct,265,2,-1,1,unknown,no
28,blue-collar,single,secondary,1340,no,yes,no,cellular,4,nov,270,3,-1,0,unknown,no
29,technician,divorced,tertiary,1350,no,no,no,unknown,5,dec,275,4,-1,1,unknown,no
30,services,married,primary,1360,no,yes,yes,cellular,6,jan,280,1,-1,0,unknown,yes
31,admin,single,secondary,1370,no,no,no,unknown,7,feb,285,2,-1,1,unknown,no
32,management,divorced,tertiary,1380,no,yes,no,cellular,8,mar,290,3,-1,0,unknown,no
33,blue-collar,married,primary,1390,no,no,yes,unknown,9,apr,295,4,-1,1,unknown,no
34,technician,single,secondary,1400,no,yes,no,cellular,10,may,300,1,-1,0,unknown,yes
35,services,divorced,tertiary,1410,no,no,no,unknown,11,jun,305,2,-1,1,unknown,no
36,admin,married,primary,1420,no,yes,yes,cellular,12,jul,310,3,-1,0,unknown,no
37,management,single,secondary,1430,no,no,no,unknown,13,aug,315,4,-1,1,unknown,no
38,blue-collar,divorced,tertiary,1440,no,yes,no,cellular,14,sep,320,1,-1,0,unknown,yes
39,technician,married,primary,1450,no,no,yes,unknown,15,oct,325,2,-1,1,unknown,no
40,services,single,secondary,1460,no,yes,no,cellular,16,nov,330,3,-1,0,unknown,no
41,admin,divorced,tertiary,1470,no,no,no,unknown,17,dec,335,4,-1,1,unknown,no
42,management,married,primary,1480,no,yes,yes,cellular,18,jan,340,1,-1,0,unknown,yes
43,blue-collar,single,secondary,1490,no,no,no,unknown,19,feb,345,2,-1,1,unknown,no
44,technician,divorced,tertiary,1500,no,yes,no,cellular,20,mar,350,3,-1,0,unknown,no
45,services,married,primary,1510,no,no,yes,unknown,21,apr,355,4,-1,1,unknown,no
46,admin,single,secondary,1520,no,yes,no,cellular,22,may,360,1,-1,0,unknown,yes
47,management,divorced,tertiary,1530,no,no,no,unknown,23,jun,365,2,-1,1,unknown,no
48,blue-collar,married,primary,1540,no,yes,yes,cellular,24,jul,370,3,-1,0,unknown,no
49,technician,single,secondary,1550,no,no,no,unknown,25,aug,375,4,-1,1,unknown,no
